2020-02-19 07:43:36 startup archives unpack
2020-02-19 07:43:36 install perl-modules-5.28:all <none> 5.28.1-6
2020-02-19 07:43:36 status half-installed perl-modules-5.28:all 5.28.1-6
2020-02-19 07:43:36 status unpacked perl-modules-5.28:all 5.28.1-6
2020-02-19 07:43:36 install libgdbm6:amd64 <none> 1.18.1-4
2020-02-19 07:43:36 status triggers-pending libc-bin:amd64 2.28-10
2020-02-19 07:43:36 status half-installed libgdbm6:amd64 1.18.1-4
2020-02-19 07:43:36 status unpacked libgdbm6:amd64 1.18.1-4
2020-02-19 07:43:36 install libgdbm-compat4:amd64 <none> 1.18.1-4
2020-02-19 07:43:36 status half-installed libgdbm-compat4:amd64 1.18.1-4
2020-02-19 07:43:36 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-02-19 07:43:36 install libperl5.28:amd64 <none> 5.28.1-6
2020-02-19 07:43:36 status half-installed libperl5.28:amd64 5.28.1-6
2020-02-19 07:43:37 status unpacked libperl5.28:amd64 5.28.1-6
2020-02-19 07:43:37 install perl:amd64 <none> 5.28.1-6
2020-02-19 07:43:37 status half-installed perl:amd64 5.28.1-6
2020-02-19 07:43:37 status unpacked perl:amd64 5.28.1-6
2020-02-19 07:43:37 install libpython2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2020-02-19 07:43:37 status half-installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 install python2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2020-02-19 07:43:37 status half-installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 install python2-minimal:amd64 <none> 2.7.16-1
2020-02-19 07:43:37 status half-installed python2-minimal:amd64 2.7.16-1
2020-02-19 07:43:37 status unpacked python2-minimal:amd64 2.7.16-1
2020-02-19 07:43:37 install python-minimal:amd64 <none> 2.7.16-1
2020-02-19 07:43:37 status half-installed python-minimal:amd64 2.7.16-1
2020-02-19 07:43:37 status unpacked python-minimal:amd64 2.7.16-1
2020-02-19 07:43:37 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u2
2020-02-19 07:43:37 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u2
2020-02-19 07:43:37 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u2
2020-02-19 07:43:37 install mime-support:all <none> 3.62
2020-02-19 07:43:37 status half-installed mime-support:all 3.62
2020-02-19 07:43:37 status unpacked mime-support:all 3.62
2020-02-19 07:43:37 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2020-02-19 07:43:37 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2020-02-19 07:43:37 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-02-19 07:43:37 install readline-common:all <none> 7.0-5
2020-02-19 07:43:37 status half-installed readline-common:all 7.0-5
2020-02-19 07:43:37 status unpacked readline-common:all 7.0-5
2020-02-19 07:43:37 install libreadline7:amd64 <none> 7.0-5
2020-02-19 07:43:37 status half-installed libreadline7:amd64 7.0-5
2020-02-19 07:43:37 status unpacked libreadline7:amd64 7.0-5
2020-02-19 07:43:37 install libsqlite3-0:amd64 <none> 3.27.2-3
2020-02-19 07:43:37 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-02-19 07:43:37 status unpacked libsqlite3-0:amd64 3.27.2-3
2020-02-19 07:43:37 install libpython2.7-stdlib:amd64 <none> 2.7.16-2+deb10u1
2020-02-19 07:43:37 status half-installed libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 status unpacked libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 install python2.7:amd64 <none> 2.7.16-2+deb10u1
2020-02-19 07:43:37 status half-installed python2.7:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 status unpacked python2.7:amd64 2.7.16-2+deb10u1
2020-02-19 07:43:37 install libpython2-stdlib:amd64 <none> 2.7.16-1
2020-02-19 07:43:37 status half-installed libpython2-stdlib:amd64 2.7.16-1
